words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Block,Sandi Lovric,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Pressure,Hassane Kamara,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Block-Goal Keeper,Lautaro Daniel Gianetti-Maduka Okoye,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Pass,Hassane Kamara,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Ball Receipt-Carry-Dispossessed,Lorenzo Lucca-Lorenzo Lucca-Lorenzo Lucca,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Clearance-Ball Recovery-Carry,Hassane Kamara-Brenner Souza da Silva-Brenner Souza da Silva,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Pass,Brenner Souza da Silva,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Interception,Brenner Souza da Silva,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Pass-Ball Receipt-Pass,Hassane Kamara-Lorenzo Lucca-Lorenzo Lucca,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Ball Receipt-Carry-Miscontrol,Florian Thauvin-Florian Thauvin-Florian Thauvin,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Pass-Ball Receipt-Pass,Martín Ismael Payero-Sandi Lovric-Sandi Lovric,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Pressure-Pressure,Jaka Bijol-Martín Ismael Payero,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Duel-Carry-Pass,Jaka Bijol-Jaka Bijol-Jaka Bijol,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Ball Receipt-Carry-Pass-Ball Receipt-Pass,Martín Ismael Payero-Martín Ismael Payero-Martín Ismael Payero-Florian Thauvin-Florian Thauvin,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Pressure-Foul Committed,Martín Ismael Payero-Martín Ismael Payero,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Pressure,Kingsley Ehizibue,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Dribbled Past-Pressure-Pressure,Kingsley Ehizibue-Kingsley Ehizibue-Nehuén Pérez,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Duel-Carry,Kingsley Ehizibue-Kingsley Ehizibue,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Pass-Ball Receipt-Carry-Dribble-Carry,Kingsley Ehizibue-Florian Thauvin-Florian Thauvin-Florian Thauvin-Florian Thauvin,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Pass-Ball Receipt,Florian Thauvin-Lorenzo Lucca,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Pressure,Nehuén Pérez,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Interception,Jaka Bijol,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Ball Recovery-Carry,Nehuén Pérez-Nehuén Pérez,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Pass-Ball Receipt-Carry,Nehuén Pérez-Florian Thauvin-Florian Thauvin,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Dispossessed,Florian Thauvin,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Pressure,Kingsley Ehizibue,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Goal Keeper-Pass-Ball Receipt-Duel,Maduka Okoye-Maduka Okoye-Kingsley Ehizibue-Kingsley Ehizibue,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Pass-Ball Receipt-Duel,Nehuén Pérez-Lorenzo Lucca-Lorenzo Lucca,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Pass,Kingsley Ehizibue,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Duel,Sandi Lovric,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Pressure,Sandi Lovric,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Dribbled Past-Pressure,Brenner Souza da Silva-Martín Ismael Payero,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Pressure,Kingsley Ehizibue,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Pressure,Jaka Bijol,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Pressure,Brenner Souza da Silva,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Pressure,Florian Thauvin,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Injury Stoppage-Referee Ball-Drop,Martín Ismael Payero-Unknown,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Pressure,Lorenzo Lucca,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Pressure,Lorenzo Lucca,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Pressure,Sandi Lovric,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Pressure,Brenner Souza da Silva,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Pressure,Brenner Souza da Silva,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Pressure,Kingsley Ehizibue,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Pass-Ball Receipt-Carry-Pass-Ball Receipt,Kingsley Ehizibue-Martín Ismael Payero-Martín Ismael Payero-Martín Ismael Payero-Florian Thauvin,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Ball Recovery-Carry,Martín Ismael Payero-Martín Ismael Payero,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Pass-Ball Receipt-Carry,Martín Ismael Payero-Florian Thauvin-Florian Thauvin,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Dribble,Florian Thauvin,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Pass,Sandi Lovric,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Pass-Ball Receipt-Carry-Pass,Lorenzo Lucca-Martín Ismael Payero-Martín Ismael Payero-Martín Ismael Payero,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Pressure,Lorenzo Lucca,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Pressure,Jaka Bijol,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Pass,Lautaro Daniel Gianetti,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Pressure,Kingsley Ehizibue,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Block-Pass-Ball Receipt-Carry-Pass,Kingsley Ehizibue-Sandi Lovric-Nehuén Pérez-Nehuén Pérez-Nehuén Pérez,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Ball Receipt-Carry-Pass-Ball Receipt-Carry,Kingsley Ehizibue-Kingsley Ehizibue-Kingsley Ehizibue-Sandi Lovric-Sandi Lovric,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Pass,Sandi Lovric,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Ball Receipt-Carry-Pass,Kingsley Ehizibue-Kingsley Ehizibue-Kingsley Ehizibue,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Clearance-Pressure,Sandi Lovric-Nehuén Pérez,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Block-Goal Keeper,Jaka Bijol-Maduka Okoye,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Goal Keeper,Maduka Okoye,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Block,Kingsley Ehizibue,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Goal Keeper-Pressure,Maduka Okoye-Sandi Lovric,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Block-Goal Keeper-Clearance,Lautaro Daniel Gianetti-Maduka Okoye-Florian Thauvin,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Block,Martín Ismael Payero,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Pressure-Pressure,Hassane Kamara-Brenner Souza da Silva,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Pressure,Sandi Lovric,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Block-Goal Keeper-Block-Clearance,Jaka Bijol-Maduka Okoye-Sandi Lovric-Kingsley Ehizibue,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Sandi Lovric-Jaka Bijol-Jaka Bijol-Jaka Bijol-Kingsley Ehizibue-Kingsley Ehizibue-Kingsley Ehizibue-Sandi Lovric-Sandi Lovric,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Dispossessed,Sandi Lovric,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Goal Keeper-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Miscontrol,Maduka Okoye-Jaka Bijol-Maduka Okoye-Maduka Okoye-Maduka Okoye-Lorenzo Lucca-Lorenzo Lucca-Lorenzo Lucca,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Ball Recovery-Carry,Nehuén Pérez-Nehuén Pérez,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Pass-Ball Receipt-Carry,Nehuén Pérez-Florian Thauvin-Florian Thauvin,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Foul Won-Pass-Ball Receipt-Carry-Pass,Florian Thauvin-Sandi Lovric-Martín Ismael Payero-Martín Ismael Payero-Martín Ismael Payero,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Pressure-Foul Committed,Sandi Lovric-Sandi Lovric,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Goal Keeper-Pressure,Maduka Okoye-Jaka Bijol,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Dribbled Past,Jaka Bijol,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Goal Keeper-Pass-Duel,Maduka Okoye-Maduka Okoye-Lorenzo Lucca,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Martín Ismael Payero-Hassane Kamara-Hassane Kamara-Hassane Kamara-Martín Ismael Payero-Martín Ismael Payero,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Pass-Ball Receipt-Carry-Dribble-Carry,Martín Ismael Payero-Kingsley Ehizibue-Kingsley Ehizibue-Kingsley Ehizibue-Kingsley Ehizibue,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Pass,Kingsley Ehizibue,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Ball Receipt-Carry-Dribble,Sandi Lovric-Sandi Lovric-Sandi Lovric,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Kingsley Ehizibue-Nehuén Pérez-Nehuén Pérez-Sandi Lovric-Sandi Lovric-Sandi Lovric-Florian Thauvin-Florian Thauvin,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Dribble,Florian Thauvin,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Pressure,Nehuén Pérez,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Pressure-Foul Committed,Florian Thauvin-Florian Thauvin,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Pressure,Lorenzo Lucca,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Pressure,Lorenzo Lucca,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Pressure,Lorenzo Lucca,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Pressure-Pressure,Martín Ismael Payero-Hassane Kamara,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Pressure,Lautaro Daniel Gianetti,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Goal Keeper,Maduka Okoye,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Block-Goal Keeper,Lautaro Daniel Gianetti-Maduka Okoye,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Foul Won-Pass-Ball Receipt,Sandi Lovric-Maduka Okoye-Florian Thauvin,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Dribble,Florian Thauvin,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Pressure,Hassane Kamara,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Pressure,Sandi Lovric,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Pressure,Kingsley Ehizibue,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Clearance,Brenner Souza da Silva,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Clearance,Jaka Bijol,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Block-Goal Keeper-Block-50/50,Jaka Bijol-Maduka Okoye-Martín Ismael Payero-Martín Ismael Payero,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Foul Committed,Martín Ismael Payero,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Bad Behaviour,Lautaro Daniel Gianetti,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Goal Keeper-Substitution-Pass-Ball Receipt-Pass,Maduka Okoye-Sandi Lovric-Lorenzo Lucca-Martín Ismael Payero-Martín Ismael Payero,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Pass-Pressure,Martín Ismael Payero-Lorenzo Lucca,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Ball Recovery-Carry-Pass,Martín Ismael Payero-Martín Ismael Payero-Martín Ismael Payero,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Ball Receipt-Pass-Ball Receipt-Carry-Pass,Brenner Souza da Silva-Brenner Souza da Silva-Hassane Kamara-Hassane Kamara-Hassane Kamara,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Miscontrol,Hassane Kamara-Martín Ismael Payero-Martín Ismael Payero-Martín Ismael Payero-Lautaro Daniel Gianetti-Lautaro Daniel Gianetti-Lautaro Daniel Gianetti-Florian Thauvin-Florian Thauvin-Florian Thauvin,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Pressure,Florian Thauvin,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Martín Ismael Payero-Lautaro Daniel Gianetti-Lautaro Daniel Gianetti-Lautaro Daniel Gianetti-Martín Ismael Payero-Martín Ismael Payero-Martín Ismael Payero,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Pressure,Nehuén Pérez,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Foul Committed,Kingsley Ehizibue,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Dribbled Past-Pressure,Nehuén Pérez-Kingsley Ehizibue,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Pass-Ball Receipt-Carry-Pass,Kingsley Ehizibue-Maduka Okoye-Maduka Okoye-Maduka Okoye,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
50/50-Carry,Lorenzo Lucca-Lorenzo Lucca,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Dribble,Lorenzo Lucca,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Pressure-Pressure,Lorenzo Lucca-Jesper Karlström,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Pressure,Hassane Kamara,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Block,Jaka Bijol,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Clearance,Brenner Souza da Silva,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Pressure,Brenner Souza da Silva,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Clearance-Ball Recovery-Carry-Pass,Nehuén Pérez-Florian Thauvin-Florian Thauvin-Florian Thauvin,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Pressure,Brenner Souza da Silva,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Duel,Brenner Souza da Silva,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Pressure,Lautaro Daniel Gianetti,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Dribbled Past-Pressure,Lautaro Daniel Gianetti-Martín Ismael Payero,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Pressure,Kingsley Ehizibue,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Ball Recovery,Nehuén Pérez,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Foul Won-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Pressure,Kingsley Ehizibue-Nehuén Pérez-Lautaro Daniel Gianetti-Lautaro Daniel Gianetti-Lautaro Daniel Gianetti-Florian Thauvin-Florian Thauvin-Florian Thauvin-Lorenzo Lucca-Lorenzo Lucca-Lorenzo Lucca-Brenner Souza da Silva,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Pressure,Lautaro Daniel Gianetti,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Ball Recovery-Carry,Jesper Karlström-Jesper Karlström,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Foul Won-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass,Jesper Karlström-Jesper Karlström-Nehuén Pérez-Nehuén Pérez-Nehuén Pérez-Brenner Souza da Silva-Brenner Souza da Silva,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Ball Receipt-Carry-Pass,Lorenzo Lucca-Lorenzo Lucca-Lorenzo Lucca,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Ball Recovery-Carry,Lautaro Daniel Gianetti-Lautaro Daniel Gianetti,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass,Lautaro Daniel Gianetti-Florian Thauvin-Florian Thauvin-Florian Thauvin-Brenner Souza da Silva-Brenner Souza da Silva-Brenner Souza da Silva-Lorenzo Lucca-Lorenzo Lucca,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Miscontrol-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Brenner Souza da Silva-Lautaro Daniel Gianetti-Lautaro Daniel Gianetti-Hassane Kamara-Hassane Kamara-Hassane Kamara-Martín Ismael Payero-Martín Ismael Payero-Martín Ismael Payero-Jesper Karlström-Nehuén Pérez-Nehuén Pérez-Nehuén Pérez-Kingsley Ehizibue-Kingsley Ehizibue-Kingsley Ehizibue-Florian Thauvin-Florian Thauvin-Florian Thauvin,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Pass-Ball Receipt-Pass-Pressure-Ball Receipt,Lautaro Daniel Gianetti-Brenner Souza da Silva-Brenner Souza da Silva-Lorenzo Lucca-Lorenzo Lucca,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Pass,Hassane Kamara,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Ball Recovery-Carry,Martín Ismael Payero-Martín Ismael Payero,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Dribble-Carry,Martín Ismael Payero-Martín Ismael Payero,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Foul Won-Shot,Martín Ismael Payero-Florian Thauvin,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Pass-Ball Receipt,Brenner Souza da Silva-Lautaro Daniel Gianetti,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Shot,Lautaro Daniel Gianetti,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Pressure,Nehuén Pérez,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Ball Recovery-Carry-Dribble,Martín Ismael Payero-Martín Ismael Payero-Martín Ismael Payero,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Pressure,Jesper Karlström,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass,Hassane Kamara-Maduka Okoye-Maduka Okoye-Maduka Okoye-Lorenzo Lucca-Lorenzo Lucca,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Interception-Carry,Lautaro Daniel Gianetti-Lautaro Daniel Gianetti,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Pass-Ball Receipt,Lautaro Daniel Gianetti-Lorenzo Lucca,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Pressure,Lautaro Daniel Gianetti,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Goal Keeper-Injury Stoppage-Pass-Ball Receipt-Carry,Maduka Okoye-Jaka Bijol-Jaka Bijol-Maduka Okoye-Maduka Okoye,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Pass,Maduka Okoye,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Pressure-Pressure,Lorenzo Lucca-Brenner Souza da Silva,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Pressure,Hassane Kamara,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Duel,Hassane Kamara,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Pressure,Lorenzo Lucca,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Pressure,Lautaro Daniel Gianetti,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Dribbled Past,Lautaro Daniel Gianetti,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Interception,Hassane Kamara,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Pass-Ball Receipt-Carry,Kingsley Ehizibue-Florian Thauvin-Florian Thauvin,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Florian Thauvin-Lorenzo Lucca-Lorenzo Lucca-Lorenzo Lucca-Jesper Karlström-Jesper Karlström-Jesper Karlström,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Block,Lautaro Daniel Gianetti,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Substitution,Florian Thauvin,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Ball Recovery-Carry-Pass,Lautaro Daniel Gianetti-Lautaro Daniel Gianetti-Lautaro Daniel Gianetti,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Pressure,Nehuén Pérez,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Pressure,Jurgen Ekkelenkamp,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Foul Committed,Jurgen Ekkelenkamp,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Pass-Ball Receipt-Pass,Jaka Bijol-Jesper Karlström-Jesper Karlström,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Pass,Kingsley Ehizibue,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Clearance-Clearance,Jesper Karlström-Kingsley Ehizibue,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Pressure,Jurgen Ekkelenkamp,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Clearance,Jaka Bijol,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Pressure,Kingsley Ehizibue,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Block-Goal Keeper-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Kingsley Ehizibue-Maduka Okoye-Maduka Okoye-Maduka Okoye-Hassane Kamara-Hassane Kamara-Hassane Kamara-Maduka Okoye-Maduka Okoye,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Pass,Maduka Okoye,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Ball Recovery-Carry,Jesper Karlström-Jesper Karlström,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Pass-Ball Receipt-Carry,Jesper Karlström-Jurgen Ekkelenkamp-Jurgen Ekkelenkamp,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Pass,Jurgen Ekkelenkamp,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Pressure,Lorenzo Lucca,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Pressure,Kingsley Ehizibue,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Foul Committed,Kingsley Ehizibue,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
Ball Recovery-Carry,Jaka Bijol-Jaka Bijol,3944961,Udinese,Drawn,1,1,First half,1.3677206880370254,0.7412691425144158
